DateTime,Total,TotalCovid,TotalNonCovid,L3,L3Covid,L3NonCovid
2020-03-17T00:59:00Z,22,1,21,20,1,19
2020-03-17T01:59:00Z,22,1,21,20,1,19
2020-03-17T02:59:00Z,21,1,20,20,1,19
2020-03-17T03:59:00Z,22,1,21,21,1,20
2020-03-17T04:59:00Z,21,1,20,20,1,19
2020-03-17T05:59:00Z,22,1,21,21,1,20
2020-03-17T06:59:00Z,22,1,21,21,1,20
2020-03-17T07:59:00Z,22,1,21,21,1,20
2020-03-17T08:59:00Z,22,1,21,21,1,20
2020-03-17T09:59:00Z,22,1,21,21,1,20
2020-03-17T10:59:00Z,22,1,21,21,1,20
2020-03-17T11:59:00Z,22,1,21,21,1,20
2020-03-17T12:59:00Z,22,1,21,21,1,20
2020-03-17T13:59:00Z,21,1,20,20,1,19
2020-03-17T14:59:00Z,22,2,20,21,2,19
2020-03-17T15:59:00Z,21,2,19,21,2,19
2020-03-17T16:59:00Z,21,2,19,21,2,19
2020-03-17T17:59:00Z,22,2,20,22,2,20
2020-03-17T18:59:00Z,22,2,20,22,2,20
2020-03-17T19:59:00Z,22,2,20,22,2,20
2020-03-17T20:59:00Z,22,2,20,22,2,20
2020-03-17T21:59:00Z,22,2,20,22,2,20
2020-03-17T22:59:00Z,22,2,20,22,2,20
2020-03-17T23:59:00Z,22,2,20,22,2,20
2020-03-18T00:59:00Z,22,2,20,22,2,20
2020-03-18T01:59:00Z,23,3,20,23,3,20
2020-03-18T02:59:00Z,22,3,19,22,3,19
2020-03-18T03:59:00Z,22,3,19,22,3,19
2020-03-18T04:59:00Z,22,3,19,22,3,19
2020-03-18T05:59:00Z,22,3,19,22,3,19
2020-03-18T06:59:00Z,22,3,19,22,3,19
2020-03-18T07:59:00Z,22,3,19,22,3,19
2020-03-18T08:59:00Z,22,3,19,22,3,19
2020-03-18T09:59:00Z,22,3,19,22,3,19
2020-03-18T10:59:00Z,22,3,19,22,3,19
2020-03-18T11:59:00Z,22,3,19,22,3,19
2020-03-18T12:59:00Z,22,3,19,22,3,19
2020-03-18T13:59:00Z,22,3,19,22,3,19
2020-03-18T14:59:00Z,21,3,18,21,3,18
2020-03-18T15:59:00Z,21,3,18,21,3,18
2020-03-18T16:59:00Z,22,4,18,21,3,18
2020-03-18T17:59:00Z,22,4,18,21,3,18
2020-03-18T18:59:00Z,22,4,18,21,3,18
2020-03-18T19:59:00Z,22,4,18,21,3,18
2020-03-18T20:59:00Z,22,4,18,21,3,18
2020-03-18T21:59:00Z,22,4,18,21,3,18
2020-03-18T22:59:00Z,22,4,18,21,3,18
2020-03-18T23:59:00Z,22,4,18,21,3,18
2020-03-19T00:59:00Z,22,4,18,21,4,17
2020-03-19T01:59:00Z,22,4,18,21,4,17
2020-03-19T02:59:00Z,22,4,18,21,4,17
2020-03-19T03:59:00Z,22,4,18,21,4,17
2020-03-19T04:59:00Z,22,4,18,21,4,17
2020-03-19T05:59:00Z,22,4,18,21,4,17
2020-03-19T06:59:00Z,22,4,18,21,4,17
2020-03-19T07:59:00Z,22,4,18,21,4,17
2020-03-19T08:59:00Z,22,4,18,21,4,17
2020-03-19T09:59:00Z,22,4,18,21,4,17
2020-03-19T10:59:00Z,22,4,18,21,4,17
2020-03-19T11:59:00Z,22,4,18,21,4,17
2020-03-19T12:59:00Z,22,4,18,21,4,17
2020-03-19T13:59:00Z,22,4,18,21,4,17
2020-03-19T14:59:00Z,22,4,18,21,4,17
2020-03-19T15:59:00Z,22,4,18,21,4,17
2020-03-19T16:59:00Z,22,4,18,21,4,17
2020-03-19T17:59:00Z,21,4,17,20,4,16
2020-03-19T18:59:00Z,21,4,17,20,4,16
2020-03-19T19:59:00Z,22,4,18,21,4,17
2020-03-19T20:59:00Z,22,4,18,21,4,17
2020-03-19T21:59:00Z,23,4,19,22,4,18
2020-03-19T22:59:00Z,23,4,19,22,4,18
2020-03-19T23:59:00Z,24,4,20,23,4,19
2020-03-20T00:59:00Z,24,4,20,23,4,19
2020-03-20T01:59:00Z,24,4,20,23,4,19
2020-03-20T02:59:00Z,24,4,20,23,4,19
2020-03-20T03:59:00Z,25,4,21,24,4,20
2020-03-20T04:59:00Z,25,4,21,24,4,20
2020-03-20T05:59:00Z,25,4,21,24,4,20
2020-03-20T06:59:00Z,25,4,21,24,4,20
2020-03-20T07:59:00Z,25,4,21,24,4,20
2020-03-20T08:59:00Z,25,4,21,24,4,20
2020-03-20T09:59:00Z,25,4,21,24,4,20
2020-03-20T10:59:00Z,25,4,21,24,4,20
2020-03-20T11:59:00Z,25,4,21,24,4,20
2020-03-20T12:59:00Z,25,4,21,24,4,20
2020-03-20T13:59:00Z,24,4,20,23,4,19
2020-03-20T14:59:00Z,24,4,20,23,4,19
2020-03-20T15:59:00Z,25,4,21,23,4,19
2020-03-20T16:59:00Z,25,4,21,23,4,19
2020-03-20T17:59:00Z,25,4,21,23,4,19
2020-03-20T18:59:00Z,24,4,20,22,4,18
2020-03-20T19:59:00Z,24,4,20,22,4,18
2020-03-20T20:59:00Z,24,4,20,22,4,18
2020-03-20T21:59:00Z,25,4,21,23,4,19
2020-03-20T22:59:00Z,25,4,21,23,4,19
2020-03-20T23:59:00Z,25,4,21,23,4,19
2020-03-21T00:59:00Z,25,4,21,23,4,19
2020-03-21T01:59:00Z,24,4,20,23,4,19
2020-03-21T02:59:00Z,25,4,21,24,4,20
2020-03-21T03:59:00Z,25,4,21,24,4,20
2020-03-21T04:59:00Z,25,4,21,24,4,20
2020-03-21T05:59:00Z,25,4,21,24,4,20
2020-03-21T06:59:00Z,25,4,21,24,4,20
2020-03-21T07:59:00Z,25,4,21,24,4,20
2020-03-21T08:59:00Z,25,4,21,24,4,20
2020-03-21T09:59:00Z,25,4,21,24,4,20
2020-03-21T10:59:00Z,25,4,21,24,4,20
2020-03-21T11:59:00Z,25,4,21,24,4,20
2020-03-21T12:59:00Z,25,4,21,24,4,20
2020-03-21T13:59:00Z,25,4,21,24,4,20
2020-03-21T14:59:00Z,26,5,21,24,4,20
2020-03-21T15:59:00Z,26,5,21,24,4,20
2020-03-21T16:59:00Z,26,5,21,24,4,20
2020-03-21T17:59:00Z,26,5,21,24,4,20
2020-03-21T18:59:00Z,26,5,21,24,4,20
2020-03-21T19:59:00Z,25,4,21,24,4,20
2020-03-21T20:59:00Z,25,4,21,24,4,20
2020-03-21T21:59:00Z,25,4,21,24,4,20
2020-03-21T22:59:00Z,25,4,21,24,4,20
2020-03-21T23:59:00Z,24,4,20,24,4,20
2020-03-22T00:59:00Z,25,5,20,25,5,20
2020-03-22T01:59:00Z,25,5,20,25,5,20
2020-03-22T02:59:00Z,25,5,20,25,5,20
2020-03-22T03:59:00Z,25,5,20,25,5,20
2020-03-22T04:59:00Z,25,5,20,25,5,20
2020-03-22T05:59:00Z,25,5,20,25,5,20
2020-03-22T06:59:00Z,25,5,20,25,5,20
2020-03-22T07:59:00Z,25,5,20,25,5,20
2020-03-22T08:59:00Z,25,5,20,25,5,20
2020-03-22T09:59:00Z,25,5,20,25,5,20
2020-03-22T10:59:00Z,25,5,20,25,5,20
2020-03-22T11:59:00Z,25,5,20,25,5,20
2020-03-22T12:59:00Z,25,5,20,25,5,20
2020-03-22T13:59:00Z,25,5,20,25,5,20
2020-03-22T14:59:00Z,25,5,20,25,5,20
2020-03-22T15:59:00Z,24,5,19,24,5,19
2020-03-22T16:59:00Z,24,5,19,24,5,19
2020-03-22T17:59:00Z,24,5,19,24,5,19
2020-03-22T18:59:00Z,24,5,19,24,5,19
2020-03-22T19:59:00Z,24,5,19,24,5,19
2020-03-22T20:59:00Z,24,5,19,24,5,19
2020-03-22T21:59:00Z,24,5,19,24,5,19
2020-03-22T22:59:00Z,24,5,19,24,5,19
2020-03-22T23:59:00Z,24,5,19,24,5,19
2020-03-23T00:59:00Z,25,5,20,24,5,19
2020-03-23T01:59:00Z,25,5,20,24,5,19
2020-03-23T02:59:00Z,26,5,21,25,5,20
2020-03-23T03:59:00Z,26,5,21,25,5,20
2020-03-23T04:59:00Z,26,5,21,25,5,20
2020-03-23T05:59:00Z,26,5,21,25,5,20
2020-03-23T06:59:00Z,26,5,21,25,5,20
2020-03-23T07:59:00Z,26,5,21,25,5,20
2020-03-23T08:59:00Z,26,5,21,25,5,20
2020-03-23T09:59:00Z,26,5,21,25,5,20
2020-03-23T10:59:00Z,26,5,21,25,5,20
2020-03-23T11:59:00Z,26,5,21,25,5,20
2020-03-23T12:59:00Z,26,5,21,25,5,20
2020-03-23T13:59:00Z,26,5,21,25,5,20
2020-03-23T14:59:00Z,27,6,21,26,6,20
2020-03-23T15:59:00Z,27,6,21,26,6,20
2020-03-23T16:59:00Z,27,6,21,26,6,20
2020-03-23T17:59:00Z,27,6,21,26,6,20
2020-03-23T18:59:00Z,27,6,21,26,6,20
2020-03-23T19:59:00Z,27,6,21,26,6,20
2020-03-23T20:59:00Z,26,6,20,25,6,19
2020-03-23T21:59:00Z,26,6,20,25,6,19
2020-03-23T22:59:00Z,25,6,19,24,6,18
2020-03-23T23:59:00Z,26,7,19,25,7,18
2020-03-24T00:59:00Z,26,7,19,25,7,18
2020-03-24T01:59:00Z,26,7,19,25,7,18
2020-03-24T02:59:00Z,26,7,19,25,7,18
2020-03-24T03:59:00Z,26,7,19,25,7,18
2020-03-24T04:59:00Z,26,7,19,25,7,18
2020-03-24T05:59:00Z,26,7,19,25,7,18
2020-03-24T06:59:00Z,26,7,19,25,7,18
2020-03-24T07:59:00Z,26,7,19,25,7,18
2020-03-24T08:59:00Z,27,8,19,26,8,18
2020-03-24T09:59:00Z,27,8,19,26,8,18
2020-03-24T10:59:00Z,27,8,19,26,8,18
2020-03-24T11:59:00Z,27,8,19,26,8,18
2020-03-24T12:59:00Z,27,8,19,26,8,18
2020-03-24T13:59:00Z,27,8,19,26,8,18
2020-03-24T14:59:00Z,28,8,20,27,8,19
2020-03-24T15:59:00Z,28,8,20,27,8,19
2020-03-24T16:59:00Z,29,8,21,28,8,20
2020-03-24T17:59:00Z,29,8,21,28,8,20
2020-03-24T18:59:00Z,29,8,21,28,8,20
2020-03-24T19:59:00Z,29,8,21,28,8,20
2020-03-24T20:59:00Z,29,8,21,28,8,20
2020-03-24T21:59:00Z,29,8,21,28,8,20
2020-03-24T22:59:00Z,29,8,21,28,8,20
2020-03-24T23:59:00Z,29,8,21,28,8,20
2020-03-25T00:59:00Z,29,8,21,27,7,20
2020-03-25T01:59:00Z,29,8,21,27,7,20
2020-03-25T02:59:00Z,30,8,22,28,7,21
2020-03-25T03:59:00Z,29,8,21,27,7,20
2020-03-25T04:59:00Z,29,8,21,27,7,20
2020-03-25T05:59:00Z,30,8,22,28,7,21
2020-03-25T06:59:00Z,30,8,22,28,7,21
2020-03-25T07:59:00Z,30,8,22,28,7,21
2020-03-25T08:59:00Z,31,9,22,29,8,21
2020-03-25T09:59:00Z,31,9,22,29,8,21
2020-03-25T10:59:00Z,31,9,22,29,8,21
2020-03-25T11:59:00Z,30,9,21,28,8,20
2020-03-25T12:59:00Z,30,9,21,28,8,20
2020-03-25T13:59:00Z,29,9,20,27,8,19
2020-03-25T14:59:00Z,30,10,20,28,9,19
2020-03-25T15:59:00Z,30,10,20,28,9,19
2020-03-25T16:59:00Z,28,10,18,27,9,18
2020-03-25T17:59:00Z,28,10,18,27,9,18
2020-03-25T18:59:00Z,28,10,18,27,9,18
2020-03-25T19:59:00Z,28,10,18,27,9,18
2020-03-25T20:59:00Z,28,10,18,27,9,18
2020-03-25T21:59:00Z,28,10,18,27,9,18
2020-03-25T22:59:00Z,28,10,18,27,9,18
2020-03-25T23:59:00Z,28,10,18,27,9,18
2020-03-26T00:59:00Z,28,10,18,27,9,18
2020-03-26T01:59:00Z,29,10,19,28,9,19
2020-03-26T02:59:00Z,29,10,19,28,9,19
2020-03-26T03:59:00Z,29,10,19,28,9,19
2020-03-26T04:59:00Z,29,10,19,28,9,19
2020-03-26T05:59:00Z,29,10,19,28,9,19
2020-03-26T06:59:00Z,30,10,20,29,9,20
2020-03-26T07:59:00Z,31,11,20,30,10,20
2020-03-26T08:59:00Z,31,11,20,30,10,20
2020-03-26T09:59:00Z,31,11,20,30,10,20
2020-03-26T10:59:00Z,31,11,20,30,10,20
2020-03-26T11:59:00Z,31,11,20,30,10,20
2020-03-26T12:59:00Z,31,11,20,30,10,20
2020-03-26T13:59:00Z,31,11,20,30,10,20
2020-03-26T14:59:00Z,31,11,20,30,10,20
2020-03-26T15:59:00Z,31,11,20,30,10,20
2020-03-26T16:59:00Z,31,11,20,30,10,20
2020-03-26T17:59:00Z,30,11,19,29,10,19
2020-03-26T18:59:00Z,30,11,19,29,10,19
2020-03-26T19:59:00Z,30,11,19,29,10,19
2020-03-26T20:59:00Z,30,11,19,29,10,19
2020-03-26T21:59:00Z,30,11,19,29,10,19
2020-03-26T22:59:00Z,30,11,19,29,10,19
2020-03-26T23:59:00Z,30,11,19,29,10,19
2020-03-27T00:59:00Z,31,11,20,29,10,19
2020-03-27T01:59:00Z,31,11,20,29,10,19
2020-03-27T02:59:00Z,31,11,20,29,10,19
2020-03-27T03:59:00Z,31,11,20,29,10,19
2020-03-27T04:59:00Z,31,11,20,29,10,19
2020-03-27T05:59:00Z,31,11,20,29,10,19
2020-03-27T06:59:00Z,31,11,20,29,10,19
2020-03-27T07:59:00Z,31,11,20,29,10,19
2020-03-27T08:59:00Z,31,11,20,29,10,19
2020-03-27T09:59:00Z,31,11,20,29,10,19
2020-03-27T10:59:00Z,31,11,20,29,10,19
2020-03-27T11:59:00Z,32,12,20,30,11,19
2020-03-27T12:59:00Z,32,12,20,30,11,19
2020-03-27T13:59:00Z,32,12,20,30,11,19
2020-03-27T14:59:00Z,32,12,20,30,11,19
2020-03-27T15:59:00Z,33,12,21,30,11,19
2020-03-27T16:59:00Z,33,12,21,30,11,19
2020-03-27T17:59:00Z,33,12,21,30,11,19
2020-03-27T18:59:00Z,33,12,21,30,11,19
2020-03-27T19:59:00Z,33,12,21,30,11,19
2020-03-27T20:59:00Z,33,12,21,30,11,19
2020-03-27T21:59:00Z,33,12,21,30,11,19
2020-03-27T22:59:00Z,33,12,21,30,11,19
2020-03-27T23:59:00Z,33,12,21,30,11,19
2020-03-28T00:59:00Z,32,11,21,29,10,19
2020-03-28T01:59:00Z,32,11,21,29,10,19
2020-03-28T02:59:00Z,32,11,21,29,10,19
2020-03-28T03:59:00Z,32,11,21,29,10,19
2020-03-28T04:59:00Z,31,10,21,29,10,19
2020-03-28T05:59:00Z,31,10,21,29,10,19
2020-03-28T06:59:00Z,31,10,21,29,10,19
2020-03-28T07:59:00Z,31,10,21,29,10,19
2020-03-28T08:59:00Z,31,10,21,29,10,19
2020-03-28T09:59:00Z,31,10,21,29,10,19
2020-03-28T10:59:00Z,31,10,21,29,10,19
2020-03-28T11:59:00Z,30,10,20,28,10,18
2020-03-28T12:59:00Z,30,10,20,28,10,18
2020-03-28T13:59:00Z,30,10,20,28,10,18
2020-03-28T14:59:00Z,30,10,20,28,10,18
2020-03-28T15:59:00Z,29,10,19,27,10,17
2020-03-28T16:59:00Z,29,10,19,27,10,17
2020-03-28T17:59:00Z,29,10,19,27,10,17
2020-03-28T18:59:00Z,30,12,18,29,12,17
2020-03-28T19:59:00Z,30,12,18,29,12,17
2020-03-28T20:59:00Z,30,12,18,29,12,17
2020-03-28T21:59:00Z,30,12,18,29,12,17
2020-03-28T22:59:00Z,30,12,18,29,12,17
2020-03-28T23:59:00Z,30,12,18,29,12,17
2020-03-29T00:59:00Z,29,12,17,27,12,15
2020-03-29T01:59:00Z,29,12,17,27,12,15
2020-03-29T02:59:00Z,29,12,17,27,12,15
2020-03-29T03:59:00Z,29,12,17,27,12,15
2020-03-29T04:59:00Z,29,12,17,27,12,15
2020-03-29T05:59:00Z,29,12,17,27,12,15
2020-03-29T06:59:00Z,29,12,17,27,12,15
2020-03-29T07:59:00Z,29,12,17,27,12,15
2020-03-29T08:59:00Z,29,12,17,27,12,15
2020-03-29T09:59:00Z,29,12,17,27,12,15
2020-03-29T10:59:00Z,29,12,17,27,12,15
2020-03-29T11:59:00Z,29,12,17,27,12,15
2020-03-29T12:59:00Z,30,12,18,28,12,16
2020-03-29T13:59:00Z,31,13,18,29,13,16
2020-03-29T14:59:00Z,31,13,18,29,13,16
2020-03-29T15:59:00Z,31,13,18,29,13,16
2020-03-29T16:59:00Z,30,13,17,29,13,16
2020-03-29T17:59:00Z,29,13,16,28,13,15
2020-03-29T18:59:00Z,30,14,16,29,14,15
2020-03-29T19:59:00Z,29,13,16,28,13,15
2020-03-29T20:59:00Z,29,13,16,28,13,15
2020-03-29T21:59:00Z,29,13,16,28,13,15
2020-03-29T22:59:00Z,29,13,16,28,13,15
2020-03-29T23:59:00Z,30,14,16,29,14,15
2020-03-30T00:59:00Z,30,14,16,29,14,15
2020-03-30T01:59:00Z,30,14,16,29,14,15
2020-03-30T02:59:00Z,30,14,16,29,14,15
